복원_요청연월,신청구분코드,신청구분명,접수건수
2023-04-01,459,연금수급증발급,39
2023-04-01,999,미구분,13
2023-05-01,454,연금수급자정보변경,58
2023-05-01,457,연금수급자신분변동,1
2023-05-01,459,연금수급증발급,32
2023-05-01,999,미구분,14
2023-06-01,454,연금수급자정보변경,42
2023-06-01,459,연금수급증발급,13
2023-06-01,999,미구분,1
2023-07-01,454,연금수급자정보변경,49
2023-07-01,459,연금수급증발급,26
2023-07-01,999,미구분,6
2023-08-01,454,연금수급자정보변경,53
2023-08-01,459,연금수급증발급,19
2023-08-01,999,미구분,5
2023-09-01,454,연금수급자정보변경,78
2023-09-01,457,연금수급자신분변동,2
2023-09-01,459,연금수급증발급,23
2023-09-01,999,미구분,21
2023-10-01,454,연금수급자정보변경,38
2023-10-01,457,연금수급자신분변동,1
2023-10-01,459,연금수급증발급,22
2023-10-01,999,미구분,1
2023-11-01,454,연금수급자정보변경,44
2023-11-01,457,연금수급자신분변동,1
2023-11-01,459,연금수급증발급,15
2023-11-01,999,미구분,21
2023-12-01,454,연금수급자정보변경,44
2023-12-01,457,연금수급자신분변동,2
2023-12-01,459,연금수급증발급,33
2023-12-01,999,미구분,122
2024-01-01,454,연금수급자정보변경,80
2024-01-01,457,연금수급자신분변동,4
2024-01-01,459,연금수급증발급,41
2024-01-01,999,미구분,42
2024-02-01,454,연금수급자정보변경,55
2024-02-01,457,연금수급자신분변동,1
2024-02-01,459,연금수급증발급,13
2024-02-01,999,미구분,28
2024-03-01,454,연금수급자정보변경,117
2024-03-01,457,연금수급자신분변동,3
2024-03-01,459,연금수급증발급,36
2024-03-01,999,미구분,9
2024-04-01,454,연금수급자정보변경,62
2024-04-01,457,연금수급자신분변동,2
2024-04-01,459,연금수급증발급,34
2024-04-01,999,미구분,13
2024-05-01,454,연금수급자정보변경,75
2024-05-01,459,연금수급증발급,27
2024-05-01,999,미구분,21
2024-06-01,453,청산일시금,1
2024-06-01,454,연금수급자정보변경,54
2024-06-01,459,연금수급증발급,23
2024-06-01,999,미구분,11
2024-07-01,454,연금수급자정보변경,55
2024-07-01,457,연금수급자신분변동,1
2024-07-01,459,연금수급증발급,22
2024-07-01,999,미구분,8
2024-08-01,454,연금수급자정보변경,62
2024-08-01,457,연금수급자신분변동,1
2024-08-01,459,연금수급증발급,21
2024-08-01,999,미구분,2
2024-09-01,454,연금수급자정보변경,91
2024-09-01,457,연금수급자신분변동,2
2024-09-01,459,연금수급증발급,15
2024-09-01,999,미구분,16
2024-10-01,454,연금수급자정보변경,66
2024-10-01,459,연금수급증발급,34
2024-10-01,999,미구분,9
2024-11-01,454,연금수급자정보변경,51
2024-11-01,459,연금수급증발급,26
2024-11-01,999,미구분,26
2024-12-01,453,청산일시금,2
2024-12-01,454,연금수급자정보변경,66
2024-12-01,457,연금수급자신분변동,3
2024-12-01,459,연금수급증발급,26
2024-12-01,999,미구분,53
2025-01-01,454,연금수급자정보변경,81
2025-01-01,457,연금수급자신분변동,3
2025-01-01,459,연금수급증발급,22
2025-01-01,999,미구분,45
2025-02-01,454,연금수급자정보변경,74
2025-02-01,457,연금수급자신분변동,3
2025-02-01,459,연금수급증발급,22
2025-02-01,999,미구분,16
2025-03-01,454,연금수급자정보변경,100
2025-03-01,457,연금수급자신분변동,8
2025-03-01,459,연금수급증발급,41
2025-03-01,999,미구분,31
2025-04-01,454,연금수급자정보변경,84
2025-04-01,457,연금수급자신분변동,2
2025-04-01,459,연금수급증발급,29
2025-04-01,999,미구분,4
2025-05-01,454,연금수급자정보변경,45
2025-05-01,459,연금수급증발급,32
2025-05-01,999,미구분,11
2025-06-01,454,연금수급자정보변경,77
2025-06-01,457,연금수급자신분변동,1
2025-06-01,459,연금수급증발급,20
2025-06-01,999,미구분,2
2025-07-01,454,연금수급자정보변경,63
2025-07-01,459,연금수급증발급,24
2025-07-01,999,미구분,5
2025-08-01,454,연금수급자정보변경,66
2025-08-01,459,연금수급증발급,15
2025-08-01,999,미구분,3
2025-09-01,454,연금수급자정보변경,69
2025-09-01,459,연금수급증발급,23
2025-09-01,999,미구분,5
2025-10-01,454,연금수급자정보변경,64
2025-10-01,457,연금수급자신분변동,1
2025-10-01,459,연금수급증발급,17
2025-11-01,454,연금수급자정보변경,108
2025-11-01,457,연금수급자신분변동,1
2025-11-01,459,연금수급증발급,24
2025-12-01,454,연금수급자정보변경,92
2025-12-01,459,연금수급증발급,19
2026-01-01,454,연금수급자정보변경,116
2026-01-01,457,연금수급자신분변동,3
2026-01-01,459,연금수급증발급,50
2026-02-01,453,청산일시금,1
2026-02-01,454,연금수급자정보변경,110
2026-02-01,459,연금수급증발급,26
2026-03-01,454,연금수급자정보변경,128
2026-03-01,457,연금수급자신분변동,8
2026-03-01,459,연금수급증발급,37
2026-04-01,454,연금수급자정보변경,75
2026-04-01,457,연금수급자신분변동,2
2026-04-01,459,연금수급증발급,19
